What treatments are recommended or not recommended for ASD?,"Because autism spectrum disorder can't be cured, many parents seek alternative or complementary therapies, but these treatments have little or no research to show that they're effective. You could, unintentionally, reinforce negative behaviors. And some alternative treatments are potentially dangerous. Talk with your child's doctor about the scientific evidence of any therapy that you're considering for your child. with animals improves symptoms of autism spectrum disorder.
Read more:
https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/diagnosis-treatment/drc-20352934

Continue asking or input 'go back' to Main Service"
Why do concerns about mercury in vaccines persist?,"Concerns about the thimerosal -autism link persist for a number of reasons. Methylmercury is unquestionably a toxic substance and there is warranted concern about exposure to many toxins present in the environment.
Read more:
https://www.necc.org/wp-content/uploads/2015/08/AutismFAQ.pdf

Continue asking or input 'go back' to Main Service"
Why do people diagnosed with autism spectrum disorder (ASD) sometimes have a difficult time making eye contact?,"Researchers recently have found that people diagnosed with ASD have a hard time making eye contact. In one study, the subcortical system of the brain was shown to exhibit a high activation, which researchers believe may be the basis of people with autism avoiding eye contact in daily life. This pathway is involved in facial recognition and detection. In infants, the more this pathway is used, the better the visual cortex develops. This can help give the person diagnosed with autism and their loved ones an improved ability to recognize social cues and communicate with one another.
Read more:
https://www.healthline.com/health/our-two-cents-doctors-answer-questions-about-autism

Continue asking or input 'go back' to Main Service"
How do I choose the best special education program for my autistic child?,"It's important then to understand what your child's strengths and needs are,  physically, emotionally and mentally, and to look for a school which can effectively match these. You should also keep in mind that you want to find a school that will continue to be suitable over the years as your child's strengths and needs change. When considering potential schools, you also need to think about things such as your family's values, beliefs, budget, available time, and more.
Read more:
https://www.skillsyouneed.com/rhubarb/choose-school-for-special-needs.html

Continue asking or input 'go back' to Main Service"
How do I obtain Guardianship for my autistic child?,"Here are the steps to getting legal guardianship:
1. Fill out forms at probate court and ask for a hearing.
2. The court will determine when you'll need to be present for a hearing to determine guardianship.
3. The adult child will be evaluated by a doctor or other mental health professional to determine how well you make decisions.
4. At the hearing, the doctor or mental health professional will present his or her findings about the adult child's level of competence.
5. The judge will determine what level of guardianship an individual may need.
Read more:
https://www.thesimpledollar.com/financial-wellness/guide-to-guardianship-for-young-adults-with-disabilities/

Continue asking or input 'go back' to Main Service"
What is the educational model called Floor Time?,"Floortime is a relationship-based therapy for children with autism. The intervention is called Floortime because the parent gets down on the floor with the child to play and interact with the child at their level.The goal is for adults to help children expand their circles of communication. They meet the child at their developmental level and build on their strengths. Therapists and parents engage children through the activities each child enjoys. They enter the child's games. They follow the child's lead.
Read more:
https://www.autismspeaks.org/floortime-0

Continue asking or input 'go back' to Main Service"
Keeping my child clean and neat is a real challenge. How do other parents deal with this?,"Here are some suggetions to keep your child clean:
1)  Explore alternatives for showering like sponge bath or washing with a damp clo
thes when the child is watching TV or playing video games
2)For some children cutting finger or toe nails is frightening. So do this while they are distracted or asleep.
3) If your child is afraid of getting his/her haircut then try brushing hair regularly to 
desensitize your child to getting a hair cut
Read more:
https://books.google.co.in/books?id=LtqUAChbC98C&pg=PA194&lpg=PA194&dq=Keeping+my+child+clean+and+neat+is+a+real+challenge.+autism&source=bl&ots=vEBPNuDStr&sig=ACfU3U3kNCPfEUL5CvxOMoleJd4oea9Nmw&hl=en&sa=X&ved=2ahUKEwiopsrbrNPyAhUVeisKHb5mC6AQ6AF6BAg7EAM#v=onepage&q=Keeping%20my%20child%20clean%20and%20neat%20is%20a%20real%20challenge.%20autism&f=false

Continue asking or input 'go back' to Main Service"
How do I keep my child clean and neat?,"Here are some suggetions to keep your child clean:
1)  Explore alternatives for showering like sponge bath or washing with a damp clo
thes when the child is watching TV or playing video games
2)For some children cutting finger or toe nails is frightening. So do this while they are distracted or asleep.
3) If your child is afraid of getting his/her haircut then try brushing hair regularly to 
desensitize your child to getting a hair cut

Read more:
https://books.google.co.in/books?id=LtqUAChbC98C&pg=PA194&lpg=PA194&dq=Keeping+my+child+clean+and+neat+is+a+real+challenge.+autism&source=bl&ots=vEBPNuDStr&sig=ACfU3U3kNCPfEUL5CvxOMoleJd4oea9Nmw&hl=en&sa=X&ved=2ahUKEwiopsrbrNPyAhUVeisKHb5mC6AQ6AF6BAg7EAM#v=onepage&q=Keeping%20my%20child%20clean%20and%20neat%20is%20a%20real%20challenge.%20autism&f=false

Continue asking or input 'go back' to Main Service"
What are some resources for learning more about autism?,"Searching for autism information on the web can be overwhelming
So We created this list of web resources based on recommendations from leading ASD organizations.
1)Asperger Syndrome and High Functioning Autism Association
2)Autism Highway
3)Autism Research Institute
4)Autism Society
Read more:
https://www.readingrockets.org/article/top-autism-organizations-and-web-resources

Continue asking or input 'go back' to Main Service"
What does the Rehabilitation Act of 1973 have to do with the education of my child?,"Section 504 of the Rehabilitation Act of 1973 requires recipients to provide to students with disabilities appropriate educational services designed to meet the individual needs of such students to the same extent as the needs of students without disabilities are met. An appropriate education for a student with a disability under the Section 504 regulations could consist of education in regular classrooms, education in regular classes with supplementary services, and/or special education and related services.
Read more:
https://www2.ed.gov/about/offices/list/ocr/504faq.html

Continue asking or input 'go back' to Main Service"
"What is a ""Letter of Intent"" and why is it necessary when creating a special needs trust?","An important companion piece to a special needs trust is a 'letter of intent' or 'letter of instruction'. This is a document that actually ensures your trustee knows your child's functional abilities, routines, interests, and particular likes and dislikes. In addition to describing your special child, the letter of intent identifies specific doctors, services and resources that will help your child enjoy the highest level of independence and self-reliance. The document is a valuable tool that communicates knowledge only parents may know, including specific hopes and desires for their child's future well being, to the very people who will be caring for the child after the parents no longer are able to do so.
Read more:
https://www.specialneedsalliance.org/the-voice/letter-of-intent-4/

Continue asking or input 'go back' to Main Service"
What is a special needs trust?,"A special needs trust is a legal arrangement and fiduciary relationship that allows a physically or mentally disabled or chronically ill person to receive income without reducing their eligibility for the public assistance disability benefits provided by Social Security, Supplemental Security Income, Medicare or Medicaid. In a fiduciary relationship, a person or entity acts on behalf of another person or people to manage assets.
Read more:
https://www.investopedia.com/terms/s/special-needs-trust.asp

Continue asking or input 'go back' to Main Service"
What is guardianship?,"A guardian is a person who has assumed the care and protection of another person, and is responsible for all legal decisions on behalf of that person, and his property. All parents are legal guardians of their child(ren) till the child attains 18 years of age. Persons with Autism are in a special situation because even after they reach 18 years of age, they are not seen as being adequate to manage or take any legal decisions for their betterment. The National Trust Act, therefore, enables a person with above disabilities to have a guardian representing her/him throughout their lives.
Read more:
https://vikaspedia.in/education/parents-corner/guidelines-for-parents-of-children-with-disabilities/guardianship#:~:text=Autism%2C%20cerebral%20palsy%2C%20mental%20retardation%20and%20multiple%20disabilities,-Persons%20with%20Autism&text=As%20per%20the%20Act%2C%20a,till%20their%20child%20turns%20%2D18.

Continue asking or input 'go back' to Main Service"
What is special education?,"Special education, is the practice of educating students in a way that provides accommodations that address their individual differences, disabilities, and special needs. Ideally, this process involves the individually planned and systematically monitored arrangement of teaching procedures, adapted equipment and materials, and accessible settings. These interventions are designed to help individuals with special needs achieve a higher level of personal self-sufficiency and success 
Read more:
https://en.wikipedia.org/wiki/Special_education

Continue asking or input 'go back' to Main Service"
What is the Individualized Education Plan (IEP)?,"This is a plan or program developed to ensure that a child with an identified disability who is attending an elementary or secondary educational institution receives specialized instruction and related services. The IEP is developed by a team of individuals from various educational disciplines, the child with a disability, family members, and/or designated advocates.
Read more:
https://www.washington.edu/accesscomputing/what-individualized-education-plan

Continue asking or input 'go back' to Main Service"
What should a parent do about childhood immunizations?,"Many vaccines are given more than once, at different ages, and in combinations. This means that you'll need to keep a careful record of your child's shots. Common side effects of immunizations include swelling at the site of the injection, soreness, and fever. Discuss these side effects with your doctor and ask what symptoms deserve an office call. Always bring your immunizations record with you to all of your child's office visits and make sure the doctor signs and dates every immunization.
Read more:
https://www.stanfordchildrens.org/en/topic/default?id=why-childhood-immunizations-are-important-1-4510

Continue asking or input 'go back' to Main Service"
Why do I need to establish guardianship for my adult child?,"All parents are legal guardians of their child(ren) only till the child attains 18 years of age. Although, parents may take the full responsibility of looking after their child, even after the child is 18 years old, they will need to legally represent their child as a guardian in  many situations such as:
1) To safeguard the interest of disabled when involved in a crime.
2) for obtaining loans and concessions.
Read more:
https://vikaspedia.in/education/parents-corner/guidelines-for-parents-of-children-with-disabilities/guardianship

Continue asking or input 'go back' to Main Service"
Can diet help children with autism spectrum disorder?,"Families have reported improvements in behavior and language as a result of special diets, including elimination diets that remove gluten (a protein in wheat and related grains) and casein (a protein in milk). However, research results do not support the widespread use of elimination diets as a treatment for autism symptoms.
Read more:
https://icahn.mssm.edu/research/seaver/resources/autism-faqs

Continue asking or input 'go back' to Main Service"
How do I find help for my autistic child?,"Start by making sure that you and your child have an effective and reputable healthcare team on your side, which may include physicians, counselors, occupational therapists, and Special Education teachers. Be sure that any health care professional you talk to focuses on your child's holistic well-being: physical, mental, emotional and behavioral health as well as educational goals and life skills. Finally, get connected to an established network of parents who are facing the same questions and challenges.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
Where can I find assistance for my autistic child?,"Start by making sure that you and your child have an effective and reputable healthcare team on your side, which may include physicians, counselors, occupational therapists, and Special Education teachers. Be sure that any health care professional you talk to focuses on your child's holistic well-being: physical, mental, emotional and behavioral health as well as educational goals and life skills. Finally, get connected to an established network of parents who are facing the same questions and challenges.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
How can I find out if me or my autistic child's case is genetic?,"If your child has autism and you are interested in genetic testing, you can ask your child's doctor for a referral to a medical geneticist. After conducting a detailed family history and physical exam of your child, the doctor may recommend genetic testing, which usually is a blood test and sometimes a urine test. If a genetic cause is found, you can determine if the mutation was inherited from one, both or neither parent.
Read more:
https://iancommunity.org/autism-faq

Continue asking or input 'go back' to Main Service"
Can we tell which side of the family the autism came from?,"If your child has autism and you are interested in genetic testing, you can ask your child's doctor for a referral to a medical geneticist. After conducting a detailed family history and physical exam of your child, the doctor may recommend genetic testing, which usually is a blood test and sometimes a urine test. If a genetic cause is found, you can determine if the mutation was inherited from one, both or neither parent.
Read more:
https://iancommunity.org/autism-faq

Continue asking or input 'go back' to Main Service"
How can I help in the search for better treatments for ASD?,"In order for autism research to advance, participation from individuals with autism and their families is sorely needed. If someone in your family has autism, you can visit (http://www.ianresearch.org) and join the autism research community now. Your family can participate in online studies and also receive notices about local, regional and national studies looking for families like yours.
Read more:
https://iancommunity.org/autism-faq

Continue asking or input 'go back' to Main Service"
How do I get special education services for my autistic child?,"For children younger than 3 years old, there are early intervention programs. For children over 3 years of age, there are pre-school and school programs available. Parents should contact their local school district for information on their local programs. In some cases a separate program for special-needs children may be best, but for higher-functioning children integration into a regular school setting may be more appropriate, provided that there is enough support (a part or full-time aide, or other accommodations as needed). It is important that parents work with their child's teacher on an Individual Education Plan (IEP), which outlines in great detail the child's educational program.
Read more:
https://www.autism.org/advice-for-parents/

Continue asking or input 'go back' to Main Service"
How does ASD affect a person during their life?,"ASD is a lifelong condition. Most individuals will require varying degrees of support throughout their lives. The supports are unique to the needs and age of the individual. Using evidence based interventions and supports are important to ensure the success of the programs as these interventions have been researched and have shown positive outcomes. 
Read more:
https://www.autismsa.org.au/frequently-asked-questions-about-asd

Continue asking or input 'go back' to Main Service"
"I suspect my child has ASD, what should I do next?","When autism spectrum disorder (ASD) is suspected, your child will need a full assessment or evaluation and should be referred for intervention. Autism may be associated with a known genetic syndrome or medical condition. Laboratory tests may be indicated to evaluate for other possible medical conditions that could cause ASD symptoms based on the child's history and physical examination.
Read more:
https://rockmelon.com/about-autism/

Continue asking or input 'go back' to Main Service"
"If Autism is Suspected, What's Next?","When autism spectrum disorder (ASD) is suspected, your child will need a full assessment or evaluation and should be referred for intervention. Autism may be associated with a known genetic syndrome or medical condition. Laboratory tests may be indicated to evaluate for other possible medical conditions that could cause ASD symptoms based on the child's history and physical examination.
Read more:
https://rockmelon.com/about-autism/

Continue asking or input 'go back' to Main Service"
Is it possible that more than one person in the family has a form of ASD?,"Studies are increasingly pointing to a genetic basis for ASD. We are seeing multiple occurrences of the disorder in the same generation or across generations in families, with varying degrees of severity. If you know or suspect there is a history of ASD or other similar symptoms in the family, this is useful information for the diagnostician to know. 
Read more:
https://www.autismontario.com/sites/default/files/2020-04/Getting%20a%20Diagnosis%20of%20ASD_0.pdf

Continue asking or input 'go back' to Main Service"
Is there a relationship between autism and encephalopathy?,"Most children with an autism spectrum disorder do not and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.
Read more:
https://www.cdc.gov/ncbddd/autism/topics.html

Continue asking or input 'go back' to Main Service"
What will my autistic child's future be like?,"The truth is, we don't really know how life will unfold for your childbut there aren't any parents who can know what life holds for their children. We do know that with early intervention, occupational therapy, and other adjustments, parents can increase their child's success and fulfillment in life.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
What can I do to prepare my austistic child for the future?,"The truth is, we don't really know how life will unfold for your childbut there aren't any parents who can know what life holds for their children. We do know that with early intervention, occupational therapy, and other adjustments, parents can increase their child's success and fulfillment in life.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
What Can I Do To Prepare My Child For The Future?,"The truth is, we don't really know how life will unfold for your childbut there aren't any parents who can know what life holds for their children. We do know that with early intervention, occupational therapy, and other adjustments, parents can increase their child's success and fulfillment in life.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
Hwo to prepare for the Future?,"The truth is, we don't really know how life will unfold for your childbut there aren't any parents who can know what life holds for their children. We do know that with early intervention, occupational therapy, and other adjustments, parents can increase their child's success and fulfillment in life.
Read more:
https://springbrookbehavioral.com/frequently-asked-questions-about-autism/

Continue asking or input 'go back' to Main Service"
What are some of the symptoms of Autism a Parent should look out for?,"While autism can only be diagnosed by a healthcare professional, this list of common symptoms
associated with autism can help parents and caregivers know what to watch for. 
1) Communication and Social Symptoms   like Pragmatic Language 
2) Behavioral Symptoms  like Repetitive Behaviors 
3)  Difficulty in maintaining eye Contact and Nonverbal Communication 
4) Ritualistic Behaviors like eating same meals everytime
5) Self-Injury 
Read more:
https://www.autism.org/symptoms-of-autism/

Continue asking or input 'go back' to Main Service"
What are some tips for parenting kids with autism?,"1 ) Children with ASD can be impulsive and typically wander or bolt from a safe setting to get to something of interest, such as water so Secure your home.
2) Work on communication and behavior strategies. Teaching your child strategies to self-calm when stressed and appropriately respond to ""no"" can make a big difference.
3) Many children with ASD may have sleep problems. If your child is having problems going to sleep or staying asleep, talk to your pediatrician for further evaluation and treatment.
Read more:
https://www.healthychildren.org/English/health-issues/conditions/Autism/Pages/default.aspx

Continue asking or input 'go back' to Main Service"
What can parents do to help their child with an autism spectrum disorder?,"Parents have an essential role in providing support to a child with an autism spectrum disorder. They can help to ensure access to health services and education, and offer nurturing and stimulating environments as their child grows up. Recently, it has been shown that parents can also help deliver psychosocial and behavioural treatments to their own children.
Read more:
https://www.who.int/news-room/q-a-detail/autism-spectrum-disorders-(asd)

Continue asking or input 'go back' to Main Service"
How can I help my child with autism?,"Parents have an essential role in providing support to a child with an autism spectrum disorder. They can help to ensure access to health services and education, and offer nurturing and stimulating environments as their child grows up. Recently, it has been shown that parents can also help deliver psychosocial and behavioural treatments to their own children.
Read more:
https://www.who.int/news-room/q-a-detail/autism-spectrum-disorders-(asd)

Continue asking or input 'go back' to Main Service"
"If my child has ASD, what should I do next?","1) Attend one or more parent support groups, or join a parent email listserve: Parents can be a wonderful source of support and information.
2)  Contact your state's Developmental Disabilities program and apply for services
3)  Contact your local school district and ask about school programs. See what they have to offer.
4) Having a child with autism can result in many challenges, and you need to be prepared for the long term
Read more:
https://www.autism.org/is-it-autism/

Continue asking or input 'go back' to Main Service"
Why do children with autism have difficulty learning in a regular classroom setting?,"There are many reasons that a child diagnosed with autism spectrum disorders is not able to 
learn in a regular classroom setting. These include but are not limited to the following reasons:
 1. coexisting learning disabilities. 
 2. coexisting intellectual disability. 
 3. speech and communication delays. 
 4. aggression to self or others. 
 5. affective Instability. 
 6. require individual supervision to participate in the classroom. 
 7. social reciprocity problems. 
Read more:
https://www.aacap.org/AACAP/Families_and_Youth/Resource_Centers/Autism_Resource_Center/FAQ.aspx

Continue asking or input 'go back' to Main Service"
Are computers useful in the education of an autistic child?,"Computer-aided education has a significant potential in terms of increasing the educational experiences and facilitating the education
of the children with special needs. Computers allow adjustment of learning periods for different skills; practising of already learnt skills and
developing towards the next stage. Moreover, special education teachers and experts emphasize strongly that the computers affect the attitude of the children towards the class activities in a positive way and it provides the children with more opportunity to practise their basic skills.
Read more:
https://www.ejmste.com/download/importance-of-computer-aided-education-for-children-with-autism-spectrum-disorder-asd-4919.pdf

Continue asking or input 'go back' to Main Service"
